Link,Timestamp,Credit,Duration,Category,Likes,Comments,Order,Notes,Commentary
,,,0:00:03,,,,,,These are the most exhilarating moments on camera.
https://vm.tiktok.com/TTPdSX6jJM/,full,clipassassin,0:00:07,satisfying,,,1,,"And just like that, the snow was gone in under 3 seconds."
https://www.instagram.com/reel/CZnAXF8JdEb/?utm_medium=copy_link,full,heaven,0:00:06,view,,,2,mute,"Where they're going, they don't need roads."
https://www.instagram.com/reel/CZUvT4LlBBF/?utm_medium=copy_link,full,urdailypets,0:00:07,animals,,,3,crop,This husky got their nose stuck for attention.
https://vm.tiktok.com/TTPdSXFMfT/,full,liftwithbri,0:00:09,talent,,,4,mute,How to get head turners at the bar. Caught that one guy in 4K.
https://vm.tiktok.com/TTPdSXD7k7/,full,activesufi,0:00:08,dance,,,5,mute,This was a clean edit!
https://vm.tiktok.com/TTPdSX68uw/,full,letsdrillit,0:00:07,experiment,,,6,mute,Will Jolly Ranchers friction weld? Let's find out.
https://www.instagram.com/reel/CZwmjhmrFZe/?utm_medium=copy_link,full,americanmusclehd,0:00:09,funny,,,7,,Is he doing this right?
https://www.instagram.com/reel/CZnBBWGB_1y/?utm_medium=copy_link,full,meganoffroad,0:00:05,gadgets,,,8,,That has to be the coolest quad bike I've ever seen!
https://www.instagram.com/reel/CZ2m4yXA2_G/?utm_medium=copy_link,full,adeljad,0:00:08,fails,,,9,mute,This double prank went perfectly!
https://vm.tiktok.com/TTPdSXLUFB/,full,fearsupply,0:00:07,animals,,,10,mute,"Their professor let them bring their kitten to class. No work was done, but friends were made."
https://www.instagram.com/reel/CZ3qEkTJ8eL/?utm_medium=copy_link,full,foodies_of_hyd,0:00:04,funny,,,11,mute,When the sign says take one.
https://vm.tiktok.com/TTPdSXjxgW/,full,codylg14,0:00:08,satisfying,,,12,,The beauty of laminar flow.
https://vm.tiktok.com/TTPdSX2sgQ/,full,devdrives,0:00:13,gadgets,,,13,cursing,Which Decepticon transformer is this?
https://vm.tiktok.com/TTPdSXB2da/,full,espn,0:00:11,stunts,,,14,mute,Doing flips and tricks on Oobleck.
https://vm.tiktok.com/TTPdSX5Bk1/,full,jacobwitzling,0:00:13,gadgets,,,15,,This person made their own six-splitter axe.
https://vm.tiktok.com/TTPdSXHYY5/,full,rulaibraheem,0:00:23,wholesome,,,16,,Her little sister is too honest!
https://vm.tiktok.com/TTPdSXuLgP/,full,babymoooossee,0:00:20,animals,,,17,,This dog just wanted to help with the dishes!
https://vm.tiktok.com/TTPdSX2sSb/,full,gundogdu12,0:00:26,satisfying,,,18,mute,That's one way to wash the stairs.
https://vm.tiktok.com/TTPdSXrB7w/,full,chrispoopypants,0:00:14,gadgets,,,19,,Check out this beverage canning process.
https://vm.tiktok.com/TTPdSXLsD3/,full,forza.guru,0:00:09,cars,,,20,,What looks like a real Lamborghini drive by is actually shot in Forza Horizon 5.
https://vm.tiktok.com/TTPdSX5ykj/,0:00-0:08,liteboxer,0:00:08,gadgets,,,21,,This boxing machine is for the rhythm gamers.
https://vm.tiktok.com/TTPdSXHag2/,full,fruit.hd,0:00:08,food,,,22,,What fruit is this?
https://vm.tiktok.com/TTPdSX2mEN/,full,liquorneverfails,0:00:09,fails,,,23,mute,He gave the camera that look of disappointment.
https://www.instagram.com/reel/CZ7PszEgE-T/?utm_medium=copy_link,full,kilianbron,0:00:10,stunts,,,24,mute,Mountain biking through a ghost village in Spain.
https://www.instagram.com/reel/CZxQxcFAabm/?utm_medium=copy_link,full,gorillatechx,0:00:06,tech,,,25,mute,"He's operating remotely in Nevada, while the excavator is in Arizona."
https://vm.tiktok.com/TTPdSXmsUA/,full,oddlysatisfying,0:00:15,satisfying,,,26,,Do you think this is satisfying? Comment how you feel about this below.
,,,0:00:03,,,,,,Like and subscribe right now and you'll have good luck for the next 27 days.
https://vm.tiktok.com/TTPdSXFMX3/,full,swordsman_11,0:00:14,talent,,,27,mute,This person is the next Scorpion from Mortal Kombat.
https://vm.tiktok.com/TTPdSX5fUv/,full,guicapivara_,0:00:15,art,,,28,mute,Melting crayons for this umbrella artwork.
https://vm.tiktok.com/TTPdSXFArj/,full,pooochiegirl,0:00:15,funny,,,29,mute,This Karen trespassed and has the audacity to record her own felony. Charges were pressed on her.
